Date,Message
2025-12-31T21:00:00.000-03:00,"SEED=bar_index,close,ema3,sma3,ema5,sma5"
2025-12-31T21:00:00.000-03:00,"SEED=0,0.01213,na,na,na,na"
2025-12-31T22:00:00.000-03:00,"SEED=1,0.01213,na,na,na,na"
2025-12-31T23:00:00.000-03:00,"SEED=2,0.01222,0.01216,0.01216,na,na"
2026-01-01T00:00:00.000-03:00,"SEED=3,0.01222,0.01219,0.01219,na,na"
2026-01-01T01:00:00.000-03:00,"SEED=4,0.01231,0.01225,0.01225,0.012202,0.012202"
2026-01-01T02:00:00.000-03:00,"SEED=5,0.01227,0.01226,0.0122666667,0.0122246667,0.01223"
2026-01-01T03:00:00.000-03:00,"SEED=6,0.01217,0.012215,0.01225,0.0122064444,0.012238"
2026-01-01T04:00:00.000-03:00,"SEED=7,0.01249,0.0123525,0.01231,0.012300963,0.012292"
2026-01-01T05:00:00.000-03:00,"SEED=8,0.01254,0.01244625,0.0124,0.012380642,0.012356"
2026-01-01T06:00:00.000-03:00,"SEED=9,0.01249,0.012468125,0.0125066667,0.0124170947,0.012392"
2026-01-01T07:00:00.000-03:00,"SEED=10,0.01252,0.0124940625,0.0125166667,0.0124513964,0.012442"
2026-01-01T08:00:00.000-03:00,"SEED=11,0.01254,0.0125170313,0.0125166667,0.012480931,0.012516"
2026-03-31T05:00:00.000-03:00,"CSV=time,open,high,low,close,volume,bb_basis,bb_upper,bb_lower,bbw_as_written,bbw_textbook,dip,dim,adx,swing_high,roc,vol_ma,rel_vol,vwm,st_line,st_dir,ema_trend,atr"
2026-03-31T05:00:00.000-03:00,"CSV=1774944000000,0.005487,0.005487,0.005367,0.005441,19534858,0.00521674,0.0054778554,0.0049556246,4.7667457047,10.0106748214,19.6543968881,15.980953291,30.9046597296,0.005718,-1.4311594203,31101172,0.6281068122,0.5739898045,0.0052054871,-1,0.0054264223,0.0001323569"
2026-03-31T06:00:00.000-03:00,"CSV=1774947600000,0.00544,0.005457,0.005395,0.005407,11891763,0.00522772,0.0054850346,0.0049704054,4.6912119153,9.8442378916,19.0185108177,15.4639155184,29.5315774612,0.005718,-2.4007220217,29319747.6,0.4055888598,0.0580911672,0.0052054871,-1,0.005426229,0.0001253212"
2026-03-31T07:00:00.000-03:00,"CSV=1774951200000,0.005406,0.00544,0.005372,0.005396,9443877,0.00523812,0.0054914871,0.0049847529,4.6138150636,9.6739691742,18.3219303936,16.136362891,27.9856486858,0.005718,-1.5148749772,28294507.3,0.3337706821,-0.12981284,0.0052054871,-1,0.0054259282,0.0001195891"
2026-03-31T08:00:00.000-03:00,"CSV=1774954800000,0.005398,0.005417,0.00534,0.005369,14230589,0.00524896,0.0054960219,0.0050018981,4.4952850998,9.41374487,17.542407304,17.2179682067,26.1821627076,0.005718,-3.3657307415,25587143.2,0.5561616976,-0.710505401,0.0052054871,-1,0.0054253618,0.0001153302"
