Date,Message
2025-12-31T21:00:00.000-03:00,INPUTS=base_usd=1000;amt_inc=1.2;max_usd_cap=5000;drop_init=10;max_levels=50;dca_base_pct=1;progression=Linear (+);lin_inc=3;geo_mult=10;use_rebound=true;rebound_pct=2.5;require_green=true;min_gap_pct=5;confirm_bars=20;rescue_levels=10;be_arm_pct=1;use_trend_reentry=true;tr_adx_min=30;tr_ema_len=200;tr_slope=1;swing_lb=20;bb_len=50;bb_dev=1;bbw_max=14;adx_len=15;adx_max=40;require_both=false;min_profit=2;roc_len=10;roc_sm=5;vol_sm_len=10;decay_req=2;use_st_exit=true;st_atr_len=10;st_factor=3
2025-12-31T21:00:00.000-03:00,SYMINFO=mintick=0.000001;ticker=BLESSUSDT.P;timeframe=60;initial_capital=10000
2026-01-03T10:00:00.000-03:00,"STATE=1767445200000,level=1,ep1=0.01374,total_inv=1000,close=0.01374"
2026-01-03T11:00:00.000-03:00,"ENTRY=1767448800000,id=Entry,price=0.013731,size=72780.20300000001,comment=🟢 Entry"
2026-01-06T03:00:00.000-03:00,"STATE=1767679200000,level=2,ep1=0.01374,total_inv=3200,close=0.01333"
2026-01-06T04:00:00.000-03:00,"ENTRY=1767682800000,id=DCA-1,price=0.013321,size=165041.26,comment=DCA-1"
2026-01-08T05:00:00.000-03:00,"STATE=1767859200000,level=1,ep1=0.013,total_inv=1000,close=0.013"
2026-01-08T05:00:00.000-03:00,"CLOSED=1767859200000,id=Entry,entry_time=1767448800000,entry_price=0.013731,exit_price=0.013809,size=72780.20300000001,profit=3.672489043599997,commission=2.0043667904,exit_comment=🏁 Exit"
2026-01-08T05:00:00.000-03:00,"CLOSED=1767859200000,id=DCA-1,entry_time=1767682800000,entry_price=0.013321,exit_price=0.013809,size=165041.26,profit=76.0625654960001,commission=4.477569384000001,exit_comment=🏁 Exit"
2026-01-08T06:00:00.000-03:00,"ENTRY=1767862800000,id=Entry,price=0.013001,size=76923.076,comment=🟢 Entry"
2026-01-09T07:00:00.000-03:00,"STATE=1767952800000,level=2,ep1=0.013,total_inv=3200,close=0.01178"
