Date,Message
2025-12-31T21:00:00.000-03:00,"SEED=bar_index,close,ema3,sma3,ema5,sma5"
2025-12-31T21:00:00.000-03:00,"SEED=0,0.01213,na,na,na,na"
2025-12-31T22:00:00.000-03:00,"SEED=1,0.01213,na,na,na,na"
2025-12-31T23:00:00.000-03:00,"SEED=2,0.01222,0.01216,0.01216,na,na"
2026-01-01T00:00:00.000-03:00,"SEED=3,0.01222,0.01219,0.01219,na,na"
2026-01-01T01:00:00.000-03:00,"SEED=4,0.01231,0.01225,0.01225,0.012202,0.012202"
2026-01-01T02:00:00.000-03:00,"SEED=5,0.01227,0.01226,0.012266666666667,0.012224666666667,0.01223"
2026-01-01T03:00:00.000-03:00,"SEED=6,0.01217,0.012215,0.01225,0.012206444444444,0.012238"
2026-01-01T04:00:00.000-03:00,"SEED=7,0.01249,0.0123525,0.01231,0.012300962962963,0.012292"
2026-01-01T05:00:00.000-03:00,"SEED=8,0.01254,0.01244625,0.0124,0.012380641975309,0.012356"
2026-01-01T06:00:00.000-03:00,"SEED=9,0.01249,0.012468125,0.012506666666667,0.012417094650206,0.012392"
2026-01-01T07:00:00.000-03:00,"SEED=10,0.01252,0.0124940625,0.012516666666667,0.012451396433471,0.012442"
2026-01-01T08:00:00.000-03:00,"SEED=11,0.01254,0.01251703125,0.012516666666667,0.012480930955647,0.012516"
2026-03-31T05:00:00.000-03:00,"CSV=time,open,high,low,close,volume,bb_basis,bb_upper,bb_lower,bbw_as_written,bbw_textbook,dip,dim,adx,swing_high,roc,vol_ma,rel_vol,vwm,st_line,st_dir,ema_trend,atr"
2026-03-31T05:00:00.000-03:00,"CSV=1774944000000,0.005487,0.005487,0.005367,0.005441,19534858,0.00521674,0.005477855438839,0.004955624561161,4.766745704671289,10.010674821400285,19.65439688806892,15.980953291008278,30.904659729625116,0.005718,-1.431159420289857,31101172,0.628106812180583,0.573989804521418,0.005205487111352,-1,0.005426422270901,0.000132356925185"
2026-03-31T06:00:00.000-03:00,"CSV=1774947600000,0.00544,0.005457,0.005395,0.005407,11891763,0.00522772,0.005485034596555,0.004970405403445,4.691211915349467,9.844237891647236,19.018510817652743,15.463915518361455,29.531577461154747,0.005718,-2.40072202166064,29319747.6,0.405588859844073,0.058091167158313,0.005205487111352,-1,0.005426229014474,0.000125321232667"
2026-03-31T07:00:00.000-03:00,"CSV=1774951200000,0.005406,0.00544,0.005372,0.005396,9443877,0.00523812,0.005491487057054,0.004984752942946,4.613815063595022,9.67396917419667,18.32193039361569,16.136362891010222,27.985648685840964,0.005718,-1.514874977185629,28294507.3,0.333770682057432,-0.129812840016786,0.005205487111352,-1,0.00542592822826,0.0001195891094"
2026-03-31T08:00:00.000-03:00,"CSV=1774954800000,0.005398,0.005417,0.00534,0.005369,14230589,0.00524896,0.005496021851365,0.005001898148635,4.495285099784134,9.413744870043004,17.542407303981864,17.217968206717334,26.182162707552365,0.005718,-3.365730741540686,25587143.2,0.556161697645089,-0.710505401021702,0.005205487111352,-1,0.005425361778228,0.00011533019846"
